[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/probad-y-ved-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/adoracion-en-familia-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/programa-adoracion-en-familia-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/programa-adoracion-en-familia-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/programa-adoracion-en-familia-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/reavivados-por-su-palabra/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/reencuentro/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/reencuentro-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/reencuentro-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/revista-nt/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/rompiendo-el-silencio/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:28 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/sacgain-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/salud-para-la-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-de-la-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-de-la-familia-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-de-la-familia-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-la-ultima-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-santa/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-santa-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/semana-santa-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/testimonio-semana-mayordomia-cristiana-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:29 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/testimonio-semana-mayordomia-cristiana-2015/  have been purged, triggered by action: edit_terms 
